IBOV - Carteira do Dia 30/05/22,,,,,
C�digo,A��o,Tipo,Qtde. Te�rica,Part. (%),
RRRP3,3R PETROLEUM,ON      NM,200372163,0,477
ALPA4,ALPARGATAS,PN      N1,201257220,0,222
ABEV3,AMBEV S/A,ON,4380195841,3,25
AMER3,AMERICANAS,ON      NM,596875824,0,623
ASAI3,ASSAI,ON      NM,794531367,0,610
AZUL4,AZUL,PN      N2,327741172,0,334
B3SA3,B3,ON      NM,5987625321,3,695
BIDI11,BANCO INTER,UNT     N2,577852934,0,368
BPAN4,BANCO PAN,PN      N1,341124068,0,135
BBSE3,BBSEGURIDADE,ON      NM,671629692,0,846
BRML3,BR MALLS PAR,ON      NM,828273884,0,343
BBDC3,BRADESCO,ON      N1,1516726535,1,238
BBDC4,BRADESCO,PN      N1,5160570290,5,161
BRAP4,BRADESPAR,PN      N1,251402249,0,344
BBAS3,BRASIL,ON  EDJ NM,1420530937,2,558
BRKM5,BRASKEM,PNA     N1,264975728,0,552
BRFS3,BRF SA,ON      NM,1076512610,0,796
BPAC11,BTGP BANCO,UNT     N2,1301655996,1,594
CRFB3,CARREFOUR BR,ON      NM,410988561,0,391
CCRO3,CCR SA,ON      NM,1115693556,0,713
CMIG4,CEMIG,PN      N1,1448479060,0,812
CIEL3,CIELO,ON      NM,1144359228,0,222
COGN3,COGNA ON,ON      NM,1828106676,0,241
CPLE6,COPEL,PNB     N2,1563365506,0,563
CSAN3,COSAN,ON      NM,1171063698,1,231
CPFE3,CPFL ENERGIA,ON      NM,187732538,0,315
CMIN3,CSNMINERACAO,ON      N2,1120593365,0,258
CVCB3,CVC BRASIL,ON      NM,224231429,0,123
CYRE3,CYRELA REALT,ON      NM,281609283,0,196
DXCO3,DEXCO,ON      NM,295712871,0,164
ECOR3,ECORODOVIAS,ON      NM,339237914,0,118
ELET3,ELETROBRAS,ON      N1,358028908,0,756
ELET6,ELETROBRAS,PNB     N1,242987127,0,505
EMBR3,EMBRAER,ON      NM,734588205,0,453
ENBR3,ENERGIAS BR,ON      NM,230931405,0,245
ENGI11,ENERGISA,UNT     N2,248477689,0,528
ENEV3,ENEVA,ON      NM,1257479978,0,959
EGIE3,ENGIE BRASIL,ON      NM,255217329,0,542
EQTL3,EQUATORIAL,ON      NM,1100513485,1,269
EZTC3,EZTEC,ON      NM,101618236,0,85
FLRY3,FLEURY,ON      NM,303373882,0,227
GGBR4,GERDAU,PN      N1,1097534498,1,568
GOAU4,GERDAU MET,PN      N1,698275321,0,415
GOLL4,GOL,PN      N2,167095214,0,124
NTCO3,GRUPO NATURA,ON      NM,834914221,0,686
SOMA3,GRUPO SOMA,ON      NM,489316435,0,272
HAPV3,HAPVIDA,ON      NM,4454692382,1,548
HYPE3,HYPERA,ON      NM,410253528,0,780
IGTI11,IGUATEMI S.A,UNT     N1,180013980,0,177
IRBR3,IRBBRASIL RE,ON      NM,1255286531,0,172
ITSA4,ITAUSA,PN      N1,4736140654,2,177
ITUB4,ITAUUNIBANCO,PN      N1,4781077143,6,78
JBSS3,JBS,ON      NM,1290736673,2,204
JHSF3,JHSF PART,ON      NM,305915142,0,105
KLBN11,KLABIN S/A,UNT     N2,812994397,0,877
RENT3,LOCALIZA,ON      NM,594670317,1,688
LCAM3,LOCAMERICA,ON      NM,321385288,0,404
LWSA3,LOCAWEB,ON      NM,418965264,0,143
LREN3,LOJAS RENNER,ON      NM,977821540,1,240
MGLU3,MAGAZ LUIZA,ON      NM,2896234638,0,563
MRFG3,MARFRIG,ON      NM,348234011,0,247
CASH3,MELIUZ,ON      NM,548153725,0,52
BEEF3,MINERVA,ON      NM,260409710,0,177
MRVE3,MRV,ON      NM,294647234,0,146
MULT3,MULTIPLAN,ON      N2,272718548,0,316
PCAR3,P.ACUCAR-CBD,ON      NM,156946474,0,158
PETR3,PETROBRAS,ON  EDJ N2,2706334382,4,437
PETR4,PETROBRAS,PN  EDJ N2,4566442248,6,790
PRIO3,PETRORIO,ON      NM,839159130,1,171
PETZ3,PETZ,ON      NM,336154589,0,201
POSI3,POSITIVO TEC,ON      NM,78053723,0,29
QUAL3,QUALICORP,ON      NM,277027077,0,152
RADL3,RAIADROGASIL,ON      NM,1071076905,1,72
RDOR3,REDE D OR,ON      NM,772010260,1,403
RAIL3,RUMO S.A.,ON      NM,1216056103,1,9
SBSP3,SABESP,ON      NM,340001934,0,786
SANB11,SANTANDER BR,UNT,362703399,0,593
CSNA3,SID NACIONAL,ON,642398790,0,696
SLCE3,SLC AGRICOLA,ON      NM,96270946,0,260
SULA11,SUL AMERICA,UNT     N2,283167854,0,381
SUZB3,SUZANO S.A.,ON      NM,726779281,1,892
TAEE11,TAESA,UNT     N2,218568234,0,425
VIVT3,TELEF BRASIL,ON,413890875,1,37
TIMS3,TIM,ON      NM,808619532,0,560
TOTS3,TOTVS,ON      NM,519851955,0,701
UGPA3,ULTRAPAR,ON  EJ  NM,1086067887,0,753
USIM5,USIMINAS,PNA     N1,514680651,0,282
VALE3,VALE,ON      NM,3768748489,15,699
VIIA3,VIA,ON      NM,1596295753,0,252
VBBR3,VIBRA,ON      NM,1131883365,1,121
WEGE3,WEG,ON      NM,1484859030,1,892
YDUQ3,YDUQS PART,ON      NM,300833122,0,252
Quantidade Te�rica Total,,,96626612142,100,0
Redutor,,,18383416,71465343,
